Year Founded,Avg_Investment_Amount,Avg_Valuation
2000,2810419205.039282,8980748958.026594
2001,2456404661.1418858,8034638368.948753
2002,2346574890.3397665,7698215834.219845
2003,2444184712.705144,8045615060.175022
2004,2462700847.9215655,7643888790.725658
2005,2398544956.5501556,8011730969.790446
2006,2424475233.0671024,7711340315.635727
2007,2440149776.413223,8104871500.440744
2008,2323171181.6785855,7754630041.469018
2009,2450252447.666762,8156346170.884083
2010,2338150816.410583,7288737936.819833
2011,2458870982.578673,7714074554.507154
2012,2525120194.5445633,8646262081.901463
2013,2389814617.9758987,7717785504.880995
2014,2593975995.0567904,8269225683.815931
2015,2380368369.3762503,7521406289.033193
2016,2434106108.8743925,7957244776.69668
2017,2394023536.745202,7583835701.687011
2018,2431297762.2967453,8087338301.123043
2019,2537019063.953656,8235491448.706692
2020,2431779304.403204,7876945275.622835
2021,2449093477.2944593,7661309292.921676
2022,2433979357.552347,7887664584.791467
2023,2609475715.4321465,8859392636.753107
