Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%),Years_Active,Burn_Rate_Yearly,Estimated_Customers,CAC,LTV,LTV_CAC_Ratio,Runway_Years
Startup_1,Blockchain,8,1335165853.1,6621448041.824468,50,Germany,2012,77.1,13,102705065.62307692,800000,1668.957316375,8276.810052280585,4.9592700610570075,0.04868309045582796
Startup_2,SaaS,2,2781498219.93,8363214103.88975,36,UK,2006,105.52,19,146394643.1542105,200000,13907.491099649998,41816.070519448745,3.0067299860074046,0.03415425518495957
Startup_3,EdTech,10,3309031930.22,15482697353.099028,39,Singapore,2016,190.47,9,367670214.4688889,1000000,3309.0319302199996,15482.697353099027,4.6789205059346965,0.013599143480313346
Startup_4,Fintech,5,4050196269.12,12682527892.17541,44,France,2021,9.44,4,1012549067.28,500000,8100.392538239999,25365.055784350818,3.131336619134012,0.004938032300431078
Startup_5,EdTech,9,1645080294.64,6887965942.865217,48,India,2011,192.0,14,117505735.33142857,900000,1827.8669940444445,7653.295492072463,4.187008965645984,0.04255111451281374
Startup_6,EdTech,3,3939088574.84,11462969525.297262,38,Singapore,2003,26.28,22,179049480.67454547,300000,13130.295249466668,38209.89841765754,2.9100563004635838,0.027925241565421775
Startup_7,HealthTech,8,1349245127.85,2490393546.173328,24,India,2017,104.98,8,168655640.98125,800000,1686.5564098124999,3112.99193271666,1.8457680481987209,0.029646206737643996
Startup_8,Blockchain,7,4128951425.92,16303568856.291613,24,India,2006,89.13,19,217313232.9431579,700000,5898.502037028572,23290.81265184516,3.948597882247767,0.02300826292206438
Startup_9,Blockchain,3,3950045010.91,9733266248.997322,5,Brazil,2007,57.99,18,219446945.05055556,300000,13166.816703033333,32444.220829991074,2.464089959004037,0.022784550492822374
Startup_10,Fintech,10,4865378632.8,18692791832.252808,31,USA,2000,31.16,25,194615145.312,1000000,4865.378632800001,18692.79183225281,3.8420014644359144,0.02569173119586443
Startup_11,HealthTech,7,2797198504.14,13826645051.84505,17,UK,2019,33.69,6,466199750.69,700000,3995.9978630571427,19752.350074064358,4.943033192453411,0.010725016460432977
Startup_12,E-commerce,2,1726597437.89,7608269223.785214,19,Canada,2021,199.0,4,431649359.4725,200000,8632.987189450001,38041.34611892607,4.4065102014068485,0.011583476009579357
Startup_13,HealthTech,5,1818562344.1,4835268340.067286,14,China,2000,105.73,25,72742493.764,500000,3637.1246881999996,9670.536680134572,2.658841120159806,0.0687356143744756
Startup_14,E-commerce,7,1095961480.41,3965453491.279286,44,Australia,2016,31.95,9,121773497.82333334,700000,1565.6592577285714,5664.933558970409,3.6182416646576,0.041059837233663965
Startup_15,Blockchain,3,4195481545.25,13491122379.383991,24,India,2009,99.34,16,262217596.578125,300000,13984.938484166667,44970.40793127997,3.2156314439419336,0.019068132975241812
Startup_16,EdTech,6,3098366688.83,7743384208.769788,32,UK,2008,142.01,17,182256864.04882354,600000,5163.944481383333,12905.640347949646,2.4991826295724318,0.027433809015064498
Startup_17,SaaS,2,2545210318.74,11381431784.3641,46,Australia,2010,164.5,15,169680687.91599998,200000,12726.051593699998,56907.1589218205,4.4717058156508065,0.029467112972073984
Startup_18,Biotech,4,2695914069.44,11492050840.25098,29,Brazil,2013,25.17,12,224659505.78666666,400000,6739.7851736,28730.12710062745,4.262766002270291,0.02225590224856956
Startup_19,E-commerce,9,3434765565.55,10200304017.1882,28,Singapore,2021,93.38,4,858691391.3875,900000,3816.406183944445,11333.671130209112,2.969723500053446,0.005822813702511732
Startup_20,SaaS,1,567429029.03,2805347516.8289385,50,UK,2016,115.76,9,63047669.89222222,100000,5674.2902902999995,28053.475168289384,4.943961928815277,0.07930507199627401
Startup_21,Blockchain,7,3427058576.36,12358527827.868353,35,Brazil,2001,46.26,24,142794107.34833333,700000,4895.797966228572,17655.03975409765,3.6061618301823084,0.03501545051717682
